,source,tag1,relation_label,target,tag2
3537,Neonatal hemochromatosis,RAREDISEASE,Produces,liver failure in newborns,SIGN
3538,Mosaic trisomy 22,RAREDISEASE,Anaphora,The disorder,ANAPHOR
3539,Mosaic trisomy 22,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3540,Scapuloperoneal myopathy,RAREDISEASE,Is_a,genetic disorder,DISEASE
3541,Scapuloperoneal myopathy,RAREDISEASE,Produces,weakness of certain muscles,SYMPTOM
3542,Scapuloperoneal myopathy,RAREDISEASE,Produces,wasting of certain muscles,SYMPTOM
3543,Scapuloperoneal myopathy,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3544,Scapuloperoneal myopathy,RAREDISEASE,Anaphora,this disorder,ANAPHOR
3545,Mosaic trisomy 9,RAREDISEASE,Is_a,chromosomal disorder,DISEASE
3546,Mosaic trisomy 9,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3547,MPS IIIA,SKINRAREDISEASE,Is_a,MPS III,SKINRAREDISEASE
3548,MPS IIIA,SKINRAREDISEASE,Anaphora,type A,ANAPHOR
3549,MPS III type B,SKINRAREDISEASE,Is_a,MPS III,SKINRAREDISEASE
3550,MPS III type B,SKINRAREDISEASE,Anaphora,type B,ANAPHOR
3551,MPS IIIC,SKINRAREDISEASE,Is_a,MPS III,SKINRAREDISEASE
3552,MPS IIID,SKINRAREDISEASE,Is_a,MPS III,SKINRAREDISEASE
3553,McCune-Albright syndrome,SKINRAREDISEASE,Produces,Precocious puberty,SIGN
3554,McCune-Albright syndrome,SKINRAREDISEASE,Anaphora,The disorder,ANAPHOR
3555,MAS,SKINRAREDISEASE,Is_acron,McCune-Albright syndrome,SKINRAREDISEASE
3556,MAS,SKINRAREDISEASE,Anaphora,the disorder,ANAPHOR
3557,Mitral valve prolapse syndrome,DISEASE,Produces,one or both of the flaps (cusps) of the mitral valve bulge or collapse backward (prolapse) into the left atrium during ventricular contraction (systole),SIGN
3558,MVP,DISEASE,Is_acron,Mitral valve prolapse syndrome,DISEASE
3559,mitral valve prolapse syndrome,DISEASE,Anaphora,it,ANAPHOR
3560,MVP,DISEASE,Is_acron,mitral valve prolapse syndrome,DISEASE
3561,mitral valve prolapse syndrome,DISEASE,Anaphora,the disease,ANAPHOR
3562,Mitral valve prolapse syndrome,DISEASE,Anaphora,The condition,ANAPHOR
3563,MVP,DISEASE,Is_acron,Mitral valve prolapse syndrome,DISEASE
3564,The condition,ANAPHOR,Produces,systolic clicks,SIGN
3565,The condition,ANAPHOR,Produces,late systolic regurgitation murmur,SIGN
3566,The condition,ANAPHOR,Produces,regurgitation,SIGN
3567,NEC,RAREDISEASE,Anaphora,the disease,ANAPHOR
3568,the disease,ANAPHOR,Produces,increased gastric aspirates,SIGN
3569,the disease,ANAPHOR,Produces,bile-tinged gastric aspirates,SIGN
3570,the disease,ANAPHOR,Produces,leukocytosis,SIGN
3571,the disease,ANAPHOR,Produces,abdominal tenderness,SIGN
3572,NEC,RAREDISEASE,Produces,temperature instability,SIGN
3573,NEC,RAREDISEASE,Produces,poor perfusion,SIGN
3574,NEC,RAREDISEASE,Produces,cardiovascular collapse,SIGN
3575,NEC,RAREDISEASE,Produces,palpable mass,SIGN
3576,NEC,RAREDISEASE,Is_a,gastrointestinal diseases,DISEASE
3577,Sepsis,DISEASE,Increases_risk_of,ileus,DISEASE
3578,Sepsis,DISEASE,Produces,abdominal distention,SIGN
3579,Sepsis,DISEASE,Produces,feeding intolerance,SIGN
3580,SIP,DISEASE,Is_acron,spontaneous intestinal perforation,DISEASE
3581,SIP,DISEASE,Produces,isolated perforation of the distal small bowel,SIGN
3582,Hirshsprung’s disease,RAREDISEASE,Produces,severe abdominal distention,SIGN
3583,Hirshsprung’s disease,RAREDISEASE,Produces,bowel obstruction,SIGN
3584,small bowel atresia,DISEASE,Produces,severe abdominal distention,SIGN
3585,meconium ileus,DISEASE,Produces,severe abdominal distention,SIGN
3586,malrotation with volvulus,DISEASE,Produces,severe abdominal distention,SIGN
3587,NEC,RAREDISEASE,Produces,air in the intestinal wall,SIGN
3588,NEC,RAREDISEASE,Produces,persistent dilated loops,SIGN
3589,NEC,RAREDISEASE,Produces,thickened bowel wall,SIGN
3590,NEC,RAREDISEASE,Produces,pneumoperitoneum,SIGN
3591,NEC,RAREDISEASE,Produces,portal vein gas,SIGN
3592,NEC,RAREDISEASE,Produces,Pneumoperitoneum,SIGN
3593,NEC,RAREDISEASE,Produces,fluid in the abdominal cavity,SIGN
3594,NEC,RAREDISEASE,Produces,abscess,SIGN
3595,NEC,RAREDISEASE,Produces,leukocytosis,SIGN
3596,NEC,RAREDISEASE,Produces,bandemia,SIGN
3597,NEC,RAREDISEASE,Produces,neutropenia,SIGN
3598,NEC,RAREDISEASE,Produces,anemia,SIGN
3599,NEC,RAREDISEASE,Produces,thrombocytopenia,SIGN
3600,NEC,RAREDISEASE,Produces,acidosis,SIGN
3601,Ollier disease,RAREDISEASE,Is_a,skeletal disorder,DISEASE
3602,Ollier disease,RAREDISEASE,Produces,skeletal dysplasia,SIGN
3603,Ollier disease,RAREDISEASE,Anaphora,this disorder,ANAPHOR
3604,Ollier disease,RAREDISEASE,Anaphora,it,ANAPHOR
3605,it,ANAPHOR,Produces,deformities or improper limb growth,SIGN
3606,Ollier disease,RAREDISEASE,Anaphora,This disorder,ANAPHOR
3607,Ollier disease,RAREDISEASE,Produces,chondrosarcoma,SIGN
3608,MERRF syndrome,RAREDISEASE,Is_acron,syndrome Myoclonus Epilepsy with Ragged-Red Fibers,RAREDISEASE
3609,syndrome Myoclonus Epilepsy with Ragged-Red Fibers,RAREDISEASE,Produces,Myoclonus,SIGN
3610,MERRF,RAREDISEASE,Produces,myoclonus,SIGN
3611,MERRF syndrome,RAREDISEASE,Produces,myopathy,SIGN
3612,MERRF syndrome,RAREDISEASE,Produces,ataxia,SIGN
3613,MERRF syndrome,RAREDISEASE,Produces,dementia,SIGN
3614,MERRF syndrome,RAREDISEASE,Produces,optic atrophy,SIGN
3615,MERRF syndrome,RAREDISEASE,Produces,cardiomyopathy,SIGN
3616,MERRF syndrome,RAREDISEASE,Produces,peripheral neuropathy,SIGN
3617,MERRF syndrome,RAREDISEASE,Produces,Abnormal muscle cells appear as ragged red fibers,SIGN
3618,Osteogenesis Imperfecta,RAREDISEASE,Produces,brittle bones,SIGN
3619,OI,RAREDISEASE,Is_acron,Osteogenesis Imperfecta,RAREDISEASE
3620,OI type I,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3621,Metatropic Dysplasia I,RAREDISEASE,Is_a,genetic disorder,DISEASE
3622,Metatropic Dysplasia I,RAREDISEASE,Produces,extremely small stature,SIGN
3623,Metatropic Dysplasia I,RAREDISEASE,Produces,short arms,SIGN
3624,Metatropic Dysplasia I,RAREDISEASE,Produces,legs short,SIGN
3625,Metatropic Dysplasia I,RAREDISEASE,Anaphora,this disorder,ANAPHOR
3626,this disorder,ANAPHOR,Produces,narrow thorax,SIGN
3627,this disorder,ANAPHOR,Produces,short ribs,SIGN
3628,this disorder,ANAPHOR,Produces,kyphoscoliosis,SIGN
3629,Mulvihill-Smith syndrome,RAREDISEASE,Produces,low birth weight,SIGN
3630,Mulvihill-Smith syndrome,RAREDISEASE,Produces,growth delays,SIGN
3631,Mulvihill-Smith syndrome,RAREDISEASE,Produces,dwarfism,SIGN
3632,Mulvihill-Smith syndrome,RAREDISEASE,Produces,prematurely aged facial appearance,SIGN
3633,Mulvihill-Smith syndrome,RAREDISEASE,Produces,abnormalities of the head and facial (craniofacial) areas,SIGN
3634,Mulvihill-Smith syndrome,RAREDISEASE,Produces,pigmented nevi,SIGN
3635,Mulvihill-Smith syndrome,RAREDISEASE,Produces,hearing impairment,SIGN
3636,Mulvihill-Smith syndrome,RAREDISEASE,Produces,mental retardation,SIGN
3637,Mulvihill-Smith syndrome,RAREDISEASE,Produces,primary immunodeficiency,SIGN
3638,Mulvihill-Smith syndrome,RAREDISEASE,Anaphora,this condition,ANAPHOR
3639,Mulvihill-Smith Syndrome,RAREDISEASE,Produces,low birth weight,SIGN
3640,Mulvihill-Smith Syndrome,RAREDISEASE,Produces,Pigmented nevi,SIGN
3641,Mulvihill-Smith Syndrome,RAREDISEASE,Produces,short stature,SIGN
3642,Nager syndrome,RAREDISEASE,Is_a,acrofacial dysostosis,RAREDISEASE
3643,May-Hegglin Anomaly,RAREDISEASE,Is_a,"inherited, blood platelet disorder",DISEASE
3644,May-Hegglin Anomaly,RAREDISEASE,Produces,giant platelets,SIGN
3645,May-Hegglin Anomaly,RAREDISEASE,Produces,defects of the leukocytes,SIGN
3646,May-Hegglin Anomaly,RAREDISEASE,Produces,"defect of the white blood cells presence of Dohle bodies, in the cytoplasm",SIGN
3647,blood platelet disorder,DISEASE,Produces,"inherited, blood platelet disorder",DISEASE
3648,May-Hegglin Anomaly,RAREDISEASE,Is_a,blood platelet disorder,DISEASE
3649,May-Hegglin Anomaly,RAREDISEASE,Anaphora,It,ANAPHOR
3650,LADD syndrome,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3651,Necrotizing fasciitis,RAREDISEASE,Is_a,decaying infection of the fascia,DISEASE
3652,NF,RAREDISEASE,Is_acron,Necrotizing fasciitis,RAREDISEASE
3653,NF,RAREDISEASE,Produces,subcutaneous tissue necrosis,SIGN
3654,NF,RAREDISEASE,Produces,toxic shock syndrome,SIGN
3655,NF,RAREDISEASE,Produces,toxic shock-like syndrome,SIGN
3656,toxic shock syndrome,DISEASE,Produces,multiple organ failure,SIGN
3657,toxic shock-like syndrome,DISEASE,Produces,death,SIGN
3658,obesity,DISEASE,Increases_risk_of,poly-microbial NF,RAREDISEASE
3659,diabetes,DISEASE,Increases_risk_of,poly-microbial NF,RAREDISEASE
3660,chronic kidney failure,DISEASE,Increases_risk_of,poly-microbial NF,RAREDISEASE
3661,HIV,DISEASE,Increases_risk_of,poly-microbial NF,RAREDISEASE
3662,abscess,DISEASE,Increases_risk_of,poly-microbial NF,RAREDISEASE
3663,NF,RAREDISEASE,Increases_risk_of,obesity,DISEASE
3664,Myocarditis,RAREDISEASE,Produces,chest pain,SYMPTOM
3665,Myocarditis,RAREDISEASE,Produces,shortness of breath with activity,SIGN
3666,Myocarditis,RAREDISEASE,Produces,cardiac inflammation,SIGN
3667,heart disease,DISEASE,Produces,chest pain,SYMPTOM
3668,heart disease,DISEASE,Produces,shortness of breath with activity,SIGN
3669,autoimmune disorders,DISEASE,Increases_risk_of,myocarditis,RAREDISEASE
3670,Megalocornea,RAREDISEASE,Is_a,Recessive genetic disorders,DISEASE
3671,megalocornea intellectual disability syndrome,RAREDISEASE,Anaphora,The disorder,ANAPHOR
3672,megalocornea intellectual disability syndrome,RAREDISEASE,Anaphora,The syndrome,ANAPHOR
3673,Mycosis fungoides,RAREDISEASE,Is_a,T-cell lymphoma of the skin,RAREDISEASE
3674,Mycosis fungoides,RAREDISEASE,Anaphora,the disease,ANAPHOR
3675,mycosis fungoides,RAREDISEASE,Produces,skin infiltrated,SIGN
3676,mycosis fungoides,RAREDISEASE,Produces,plaques,SIGN
3677,mycosis fungoides,RAREDISEASE,Produces,nodules composed of lymphocytes,SIGN
3678,mycosis fungoides,RAREDISEASE,Produces,infiltration of lymph nodes by diseased cells may occur,SIGN
3679,mycosis fungoides,RAREDISEASE,Anaphora,The disorder,ANAPHOR
3680,Mycosis fungoides,RAREDISEASE,Anaphora,It,ANAPHOR
3681,NMOSD,RAREDISEASE,Anaphora,it,ANAPHOR
3682,NMOSD,RAREDISEASE,Anaphora,this illness,ANAPHOR
3683,NMOSD,RAREDISEASE,Anaphora,this condition,ANAPHOR
3684,NMOSD,RAREDISEASE,Anaphora,it,ANAPHOR
3685,NMOSD,RAREDISEASE,Anaphora,it,ANAPHOR
3686,Neonatal lupus,SKINRAREDISEASE,Anaphora,the disorder,ANAPHOR
3687,the disorder,ANAPHOR,Produces,congenital heart block,SIGN
3688,the disorder,ANAPHOR,Produces,congenital heart block,SIGN
3689,the disorder,ANAPHOR,Produces,fetal heart beat i slow,SIGN
3690,the disorder,ANAPHOR,Produces,heart block,SIGN
3691,the disorder,ANAPHOR,Produces,skin rash,SIGN
3692,Homozygous OSMED,RAREDISEASE,Is_acron,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE
3693,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Is_a,genetic disorder,DISEASE
3694,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Produces,dysplasia of certain bones,SIGN
3695,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Produces,hearing loss,SIGN
3696,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Produces,Skeletal malformations,SIGN
3697,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Produces,short stature,SIGN
3698,oto-spondylo-megaepiphyseal dysplasia,RAREDISEASE,Produces,Hearing loss,SIGN
3699,homozygous OSMED,RAREDISEASE,Produces,characteristic skeletal malformations,SIGN
3700,Menkes disease,SKINRAREDISEASE,Is_a,genetic disorder of copper metabolism,RAREDISEASE
3701,Menkes disease,SKINRAREDISEASE,Anaphora,It,ANAPHOR
3702,It,ANAPHOR,Produces,seizures,SIGN
3703,It,ANAPHOR,Produces,mental retardation,SIGN
3704,It,ANAPHOR,Produces,stunted growth,SIGN
3705,It,ANAPHOR,Produces,failure to thrive,SIGN
3706,It,ANAPHOR,Produces,unstable body temperature,SIGN
3707,It,ANAPHOR,Produces,very unusual color and texture of hair,SIGN
3708,Menkes disease,SKINRAREDISEASE,Produces,"brittle, tangled, sparse, steely or kinky hair",SIGN
3709,Menkes disease,SKINRAREDISEASE,Produces,"hair that is often white, ivory, or gray in color",SIGN
3710,Menkes disease,SKINRAREDISEASE,Produces,Unusual facial features,SIGN
3711,Menkes disease,SKINRAREDISEASE,Produces,pudgy cheeks,SIGN
3712,Menkes disease,SKINRAREDISEASE,Produces,abnormal eyebrows,SIGN
3713,Menkes disease,SKINRAREDISEASE,Produces,born prematurely,SIGN
3714,Menkes disease,SKINRAREDISEASE,Produces,hypothermia,SIGN
3715,Menkes disease,SKINRAREDISEASE,Produces,jaundice,SIGN
3716,Menkes disease,SKINRAREDISEASE,Produces,Hypothermia,SIGN
3717,osteoporosis,DISEASE,Produces,bones fractures,SIGN
3718,Menkes disease,SKINRAREDISEASE,Produces,Severe developmental delay,SIGN
3719,Menkes disease,SKINRAREDISEASE,Produces,loss of early development skills,SIGN
3720,Menkes disease,SKINRAREDISEASE,Produces,Brain abnormalities,SIGN
3721,Menkes disease,SKINRAREDISEASE,Produces,subdural hematoma,SIGN
3722,Menkes disease,SKINRAREDISEASE,Produces,rupture or thrombosis of arteries in the brain,SIGN
3723,Menkes disease,SKINRAREDISEASE,Produces,Spastic dementia,SIGN
3724,Menkes disease,SKINRAREDISEASE,Produces,seizures,SIGN
3725,Menkes disease,SKINRAREDISEASE,Produces,osteoporosis,SIGN
3726,Menkes disease,SKINRAREDISEASE,Produces,subdural hematoma,SIGN
3727,Menkes disease,SKINRAREDISEASE,Produces,bone fractures,SIGN
3728,Menkes disease,SKINRAREDISEASE,Produces,Emphysema,SIGN
3729,Menkes disease,SKINRAREDISEASE,Produces,bladder abnormalities,SIGN
3730,Menkes disease,SKINRAREDISEASE,Produces,degeneration of the retina,SIGN
3731,Menkes disease,SKINRAREDISEASE,Produces,cysts of the iris,SIGN
3732,jaundice,DISEASE,Produces,jaundice,SIGN
3733,jaundice,DISEASE,Produces,hyperbilirubinemia,SIGN
3734,Mantle cell lymphoma,RAREDISEASE,Increases_risk_of,non-Hodgkin's lymphomas,RAREDISEASE
3735,MCL,RAREDISEASE,Is_acron,Mantle cell lymphoma,RAREDISEASE
3736,non-Hodgkin's lymphomas,RAREDISEASE,Is_a,cancers,DISEASE
3737,Mantle cell lymphoma,RAREDISEASE,Is_a,non-Hodgkin’s lymphoma,RAREDISEASE
3738,MCL,RAREDISEASE,Is_acron,Mantle cell lymphoma,RAREDISEASE
3739,NHL,RAREDISEASE,Is_acron,non-Hodgkin’s lymphoma,RAREDISEASE
3740,MCL,RAREDISEASE,Anaphora,The disease,ANAPHOR
3741,Nephrogenic systemic fibrosis,SKINRAREDISEASE,Is_a,reduced kidney function,DISEASE
3742,Nephrogenic systemic fibrosis,SKINRAREDISEASE,Produces,fibrosis,SIGN
3743,NSF,SKINRAREDISEASE,Is_acron,Nephrogenic systemic fibrosis,SKINRAREDISEASE
3744,NSF,SKINRAREDISEASE,Produces,fibrosis of the skin,SIGN
3745,NSF,SKINRAREDISEASE,Produces,fibrosis underlying skeletal muscle,SIGN
3746,NSF,SKINRAREDISEASE,Produces,proliferation of fibrotic tissue systemic,SIGN
3747,Menetrier disease,RAREDISEASE,Produces,massive overgrowth of mucous cells (foveola) in the mucous membrane lining the stomach,SIGN
3748,Menetrier disease,RAREDISEASE,Produces,large gastric folds,SIGN
3749,Menetrier disease,RAREDISEASE,Produces,epigastric pain,SYMPTOM
3750,Menetrier disease,RAREDISEASE,Anaphora,It,ANAPHOR
3751,Menetrier disease,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3752,Menetrier disease,RAREDISEASE,Produces,massive overgrowth of mucous cells (foveola) in the mucous membrane lining the stomach,SIGN
3753,Pertussis,RAREDISEASE,Is_a,highly contagious acute respiratory disease,DISEASE
3754,Pertussis,RAREDISEASE,Anaphora,This disease,ANAPHOR
3755,Pertussis,RAREDISEASE,Produces,coughing,SIGN
3756,Pertussis,RAREDISEASE,Produces,"""whooping"""""""" sound when breathing in""",SIGN
3757,Pertussis,RAREDISEASE,Is_a,infectious disease,DISEASE
3758,Pertussis,RAREDISEASE,Is_a,highly contagious disease,DISEASE
3759,Pertussis,RAREDISEASE,Produces,lymphocytosis,SIGN
3760,Cogan type ocular motor apraxia,RAREDISEASE,Anaphora,this disorder,ANAPHOR
3761,this disorder,ANAPHOR,Produces,jerking-head movements,SIGN
3762,Cogan type ocular motor apraxia,RAREDISEASE,Produces,jerking-head movements,SIGN
3763,Cogan type ocular motor apraxia,RAREDISEASE,Produces,jerking-head movements,SIGN
3764,Cogan type ocular motor apraxia,RAREDISEASE,Produces,inability to fixate on an object,SIGN
3765,Cogan type ocular motor apraxia,RAREDISEASE,Produces,associated brain abnormalities,SIGN
3766,Cogan type ocular motor apraxia,RAREDISEASE,Produces,improper development of the cerebellar vermis,SIGN
3767,Meningitis,DISEASE,Produces,inflammation of the meninges,SIGN
3768,Meningitis,DISEASE,Anaphora,The disorder,ANAPHOR
3769,Meningitis,DISEASE,Produces,inflammation,SIGN
3770,Meningitis,DISEASE,Produces,inflammation,SIGN
3771,Meningitis,DISEASE,Produces,fever,SIGN
3772,Meningitis,DISEASE,Produces,headache,SYMPTOM
3773,Meningitis,DISEASE,Produces,stiff neck,SIGN
3774,Meningitis,DISEASE,Produces,aching muscles,SYMPTOM
3775,Meningitis,DISEASE,Produces,vomiting,SIGN
3776,Meningitis,DISEASE,Anaphora,the infection,ANAPHOR
3777,Multiple myeloma,RAREDISEASE,Is_a,cancer,DISEASE
3778,Multiple myeloma,RAREDISEASE,Produces,plasma cells proliferation and improper function of,SIGN
3779,Multiple myeloma,RAREDISEASE,Produces,Excessive plasma,SIGN
3780,Multiple myeloma,RAREDISEASE,Produces,tumor bone marrow,SIGN
3781,Multiple myeloma,RAREDISEASE,Produces,tumors,SIGN
3782,solitary plasmacytoma,RAREDISEASE,Produces,single tumor,SIGN
3783,multiple myeloma,RAREDISEASE,Produces,multiple tumors,SIGN
3784,multiple myeloma,RAREDISEASE,Produces,bone marrow has greater than 10% plasma cells,SIGN
3785,multiple myeloma,RAREDISEASE,Produces,Overproduction of plasma cells,SIGN
3786,multiple myeloma,RAREDISEASE,Produces,M proteins abnormally high levels of,SIGN
3787,multiple myeloma,RAREDISEASE,Produces,bone pain,SYMPTOM
3788,multiple myeloma,RAREDISEASE,Produces,anemia,SIGN
3789,multiple myeloma,RAREDISEASE,Produces,weakness,SYMPTOM
3790,multiple myeloma,RAREDISEASE,Produces,fatigue,SYMPTOM
3791,multiple myeloma,RAREDISEASE,Produces,kidney abnormalities,SIGN
3792,multiple myeloma,RAREDISEASE,Increases_risk_of,bacterial infections,DISEASE
3793,multiple myeloma,RAREDISEASE,Increases_risk_of,pneumonia,DISEASE
3794,Multiple endocrine neoplasia type 1,RAREDISEASE,Is_a,genetic disorder,DISEASE
3795,Multiple endocrine neoplasia type 1,RAREDISEASE,Produces,multiple tumors arising from cells of specific neuroendocrine tissues,SIGN
3796,MEN type 1,RAREDISEASE,Is_acron,Multiple endocrine neoplasia type 1,RAREDISEASE
3797,MEN type 1,RAREDISEASE,Anaphora,It,ANAPHOR
3798,MEN type 1,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3799,MEN type 1,RAREDISEASE,Is_a,genetic disorder,DISEASE
3800,Marshall Syndrome,SKINRAREDISEASE,Produces,flat sunken midface,SIGN
3801,Marshall Syndrome,SKINRAREDISEASE,Produces,saddle nose,SIGN
3802,Marshall Syndrome,SKINRAREDISEASE,Produces,nostrils that turn upward,SIGN
3803,Marshall Syndrome,SKINRAREDISEASE,Produces,hypertelorism,SIGN
3804,Marshall Syndrome,SKINRAREDISEASE,Produces,calcium deposits in the skull,SIGN
3805,Marshall Syndrome,SKINRAREDISEASE,Produces,nearsightedness,SIGN
3806,Marshall Syndrome,SKINRAREDISEASE,Produces,cataract,SIGN
3807,Marshall Syndrome,SKINRAREDISEASE,Produces,wide space between the eyes,SIGN
3808,Marshall Syndrome,SKINRAREDISEASE,Produces,eyeballs appear to be larger,SIGN
3809,Marshall Syndrome,SKINRAREDISEASE,Produces,Hearing loss,SIGN
3810,Marshall Syndrome,SKINRAREDISEASE,Produces,distortion of the sound sensorineural,SIGN
3811,Marshall Syndrome,SKINRAREDISEASE,Produces,hypertropia,SIGN
3812,Marshall Syndrome,SKINRAREDISEASE,Produces,retinal detachment,SIGN
3813,Marshall Syndrome,SKINRAREDISEASE,Produces,glaucoma,SIGN
3814,Marshall Syndrome,SKINRAREDISEASE,Produces,protruding upper incisors,SIGN
3815,Marshall Syndrome,SKINRAREDISEASE,Produces,smaller than normal or missing nasal bone,SIGN
3816,Marshall syndrome,SKINRAREDISEASE,Produces,cataracts,SIGN
3817,Myhre syndrome,RAREDISEASE,Is_a,inherited disorder,DISEASE
3818,Myhre syndrome,RAREDISEASE,Anaphora,the disorder,ANAPHOR
3819,Pheochromocytoma,RAREDISEASE,Produces,tumor,SIGN
3820,paragangliomas,RAREDISEASE,Is_synon,extra-adrenal pheochromocytomas,RAREDISEASE
3821,pheochromocytomas,RAREDISEASE,Produces,hypertension,SIGN
3822,pheochromocytomas,RAREDISEASE,Produces,excessive sweating,SIGN
3823,pheochromocytomas,RAREDISEASE,Produces,heart palpitations,SIGN
3824,Paracoccidioidomycosis,RAREDISEASE,Is_a,chronic infectious tropical disease,DISEASE
3825,PCM,RAREDISEASE,Is_acron,Paracoccidioidomycosis,RAREDISEASE
3826,paracoccidioidomycosis,RAREDISEASE,Anaphora,this disease,ANAPHOR
3827,olivopontocerebellar atrophy,RAREDISEASE,Is_a,neurodegenerative diseases,DISEASE
3828,olivopontocerebellar atrophy,RAREDISEASE,Produces,progressive deterioration of nerve cells in certain parts of the brain,SIGN
3829,olivopontocerebellar atrophy,RAREDISEASE,Anaphora,These conditions,ANAPHOR
3830,OPCA,RAREDISEASE,Is_acron,olivopontocerebellar atrophy,RAREDISEASE
3831,These conditions,ANAPHOR,Produces,cerebellar ataxia,SIGN
3832,These conditions,ANAPHOR,Produces,difficulty speaking,SIGN
3833,These conditions,ANAPHOR,Produces,dysarthria,SIGN
3834,PTLD,RAREDISEASE,Is_acron,Post-transplant lymphoproliferative disease,RAREDISEASE
3835,post-transplant lymphoproliferative disease,RAREDISEASE,Anaphora,these disorders,ANAPHOR
3836,PTLD,RAREDISEASE,Is_a,cancer,DISEASE
3837,Idiopathic nodular panniculitis,SKINRAREDISEASE,Is_a,skin disorders,DISEASE
3838,Idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,subcutaneous nodules,SIGN
3839,Idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,panniculitis,SIGN
3840,idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,fever,SIGN
3841,idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,malaise,SYMPTOM
3842,idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,myalgia,SYMPTOM
3843,idiopathic nodular panniculitis,SKINRAREDISEASE,Produces,abdominal pain,SYMPTOM
3844,allergy,DISEASE,Produces,idiopathic nodular panniculitis,SKINRAREDISEASE
3845,urea cycle disorders,DISEASE,Anaphora,these disorders,ANAPHOR
3846,NAGS deficiency,RAREDISEASE,Is_a,urea cycle disorders,DISEASE
3847,Noonan syndrome,SKINRAREDISEASE,Anaphora,The disorder,ANAPHOR
3848,genetic disorder,DISEASE,Is_a,Noonan syndrome,SKINRAREDISEASE
3849,The disorder,ANAPHOR,Produces,distinctive facial appearance,SIGN
3850,The disorder,ANAPHOR,Produces,a broad or webbed neck,SIGN
3851,The disorder,ANAPHOR,Produces,low posterior hairline,SIGN
3852,The disorder,ANAPHOR,Produces,chest deformity,SIGN
3853,The disorder,ANAPHOR,Produces,short stature,SIGN
3854,The disorder,ANAPHOR,Produces,ocular hypertelorism,SIGN
3855,The disorder,ANAPHOR,Produces,ptosis,SIGN
3856,The disorder,ANAPHOR,Produces,micrognathia,SIGN
3857,The disorder,ANAPHOR,Produces,depressed nasal root,SIGN
3858,The disorder,ANAPHOR,Produces,short nose with broad base,SIGN
3859,The disorder,ANAPHOR,Produces,"low-set, posteriorly rotated ears",SIGN
3860,Noonan syndrome,SKINRAREDISEASE,Produces,Distinctive skeletal malformations,SIGN
3861,Noonan syndrome,SKINRAREDISEASE,Produces,abnormalities of the breastbone,SIGN
3862,Noonan syndrome,SKINRAREDISEASE,Produces,kyphosis,SIGN
3863,Noonan syndrome,SKINRAREDISEASE,Produces,cubitus valgus,SIGN
3864,Noonan syndrome,SKINRAREDISEASE,Produces,heart (cardiac) defects,SIGN
3865,Noonan syndrome,SKINRAREDISEASE,Produces,pulmonary valvular stenosis,SIGN
3866,Noonan syndrome,SKINRAREDISEASE,Produces,hypertrophic cardiomyopathy,SIGN
3867,Noonan syndrome,SKINRAREDISEASE,Produces,malformations of certain blood and lymph vessels,SIGN
3868,Noonan syndrome,SKINRAREDISEASE,Produces,blood clotting deficiencies,SIGN
3869,Noonan syndrome,SKINRAREDISEASE,Produces,platelet deficiencies,SIGN
3870,Noonan syndrome,SKINRAREDISEASE,Produces,learning difficulties,SIGN
3871,Noonan syndrome,SKINRAREDISEASE,Produces,cryptorchidism,SIGN
3872,Noonan syndrome,SKINRAREDISEASE,Anaphora,the disorder,ANAPHOR
3873,Noonan syndrome,SKINRAREDISEASE,Anaphora,the disorder,ANAPHOR
3874,Papillitis,RAREDISEASE,Produces,optic disk inflammation and deterioration of the,SIGN
3875,optic neuritis,RAREDISEASE,Is_synon,Papillitis,RAREDISEASE
3876,papillitis,RAREDISEASE,Produces,loss of vision in one eye,SIGN
3877,papillitis,RAREDISEASE,Produces,visual impairment,SIGN
3878,papillitis,RAREDISEASE,Produces,slight visual deficiency,SIGN
3879,papillitis,RAREDISEASE,Produces,complete loss of light perception,SIGN
3880,papillitis,RAREDISEASE,Produces,reduction in color perception,SIGN
3881,papillitis,RAREDISEASE,Produces,permanent visual impairment,SIGN
3882,papillitis,RAREDISEASE,Anaphora,this disorder,ANAPHOR
3883,Pemphigus,SKINRAREDISEASE,Is_a,autoimmune blistering diseases of the skin and/or mucous membranes,DISEASE
3884,hives,SIGN,Is_a,eczema,SIGN
